PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,23.920302199956495,None,25.885159500001464,None,space,0.8166172000346705,25.885159500001464,None,,,d,001,2021_Jul_01_1032,UniformityIllusion,2021.1.4,59.64989091701806,
0,0,0,0,,,,,,,,,,,,,26.785576800000854,None,d,001,2021_Jul_01_1032,UniformityIllusion,2021.1.4,59.64989091701806,
1,0,1,0,,,,,,,,,,,,,27.835026099986862,None,d,001,2021_Jul_01_1032,UniformityIllusion,2021.1.4,59.64989091701806,
2,0,2,0,,,,,,,,,,,,,28.83479819999775,None,d,001,2021_Jul_01_1032,UniformityIllusion,2021.1.4,59.64989091701806,
3,0,3,0,,,,,,,,,,,,,29.834807099949103,None,d,001,2021_Jul_01_1032,UniformityIllusion,2021.1.4,59.64989091701806,
4,0,4,0,,,,,,,,,,,,,30.800679599982686,None,d,001,2021_Jul_01_1032,UniformityIllusion,2021.1.4,59.64989091701806,
,,,,0,0,0,0,,,,,,,,,,,d,001,2021_Jul_01_1032,UniformityIllusion,2021.1.4,59.64989091701806,
,,,,1,0,1,0,,,,,,,,,,,d,001,2021_Jul_01_1032,UniformityIllusion,2021.1.4,59.64989091701806,
,,,,2,0,2,0,,,,,,,,,,,d,001,2021_Jul_01_1032,UniformityIllusion,2021.1.4,59.64989091701806,
,,,,3,0,3,0,,,,,,,,,,,d,001,2021_Jul_01_1032,UniformityIllusion,2021.1.4,59.64989091701806,
,,,,4,0,4,0,,,,,,,,,,,d,001,2021_Jul_01_1032,UniformityIllusion,2021.1.4,59.64989091701806,
