1.0520 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
22.0410 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
23.1196 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B7D64EE438>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B7D6582A90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
23.1198 	EXP 	window1: mouseVisible = True
23.1198 	EXP 	window1: recordFrameIntervals = False
23.2855 	EXP 	window1: recordFrameIntervals = True
23.4700 	EXP 	window1: recordFrameIntervals = False
23.6962 	EXP 	Created WelcomeText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='WelcomeText', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Welcome to our Study!', units='height', win=Window(...), wrapWidth=1)
23.7197 	EXP 	Created instructionsText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructionsText', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
23.8633 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='stimuli\\\\3a.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), texRes=128.0, units='height', win=Window(...))
23.9203 	EXP 	WelcomeText: autoDraw = True
25.8852 	EXP 	WelcomeText: autoDraw = False
25.8852 	EXP 	instructionsText: autoDraw = True
26.7057 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
26.7059 	EXP 	New trial (rep=0, index=0): None
26.7457 	DATA 	Keypress: space
26.7856 	EXP 	instructionsText: autoDraw = False
26.7856 	EXP 	image: autoDraw = True
26.7856 	EXP 	image: texRes = 128.0
26.8514 	EXP 	image: texRes = 128.0
26.9356 	EXP 	image: texRes = 128.0
27.0020 	EXP 	image: texRes = 128.0
27.0853 	EXP 	image: texRes = 128.0
27.1514 	EXP 	image: texRes = 128.0
27.2184 	EXP 	image: texRes = 128.0
27.2851 	EXP 	image: texRes = 128.0
27.3518 	EXP 	image: texRes = 128.0
27.4186 	EXP 	image: texRes = 128.0
27.4851 	EXP 	image: texRes = 128.0
27.5517 	EXP 	image: texRes = 128.0
27.6185 	EXP 	image: texRes = 128.0
27.6850 	EXP 	image: texRes = 128.0
27.7513 	EXP 	image: texRes = 128.0
27.7522 	EXP 	New trial (rep=1, index=0): None
27.8350 	EXP 	image: autoDraw = False
27.8350 	EXP 	image: autoDraw = True
27.8350 	EXP 	image: texRes = 128.0
27.9180 	EXP 	image: texRes = 128.0
27.9849 	EXP 	image: texRes = 128.0
28.0679 	EXP 	image: texRes = 128.0
28.1348 	EXP 	image: texRes = 128.0
28.2184 	EXP 	image: texRes = 128.0
28.2845 	EXP 	image: texRes = 128.0
28.3514 	EXP 	image: texRes = 128.0
28.4182 	EXP 	image: texRes = 128.0
28.4853 	EXP 	image: texRes = 128.0
28.5519 	EXP 	image: texRes = 128.0
28.6183 	EXP 	image: texRes = 128.0
28.7019 	EXP 	image: texRes = 128.0
28.7681 	EXP 	image: texRes = 128.0
28.7687 	EXP 	New trial (rep=2, index=0): None
28.8348 	EXP 	image: autoDraw = False
28.8348 	EXP 	image: autoDraw = True
28.8348 	EXP 	image: texRes = 128.0
28.9015 	EXP 	image: texRes = 128.0
28.9847 	EXP 	image: texRes = 128.0
29.0514 	EXP 	image: texRes = 128.0
29.1176 	EXP 	image: texRes = 128.0
29.2014 	EXP 	image: texRes = 128.0
29.2676 	EXP 	image: texRes = 128.0
29.3518 	EXP 	image: texRes = 128.0
29.4180 	EXP 	image: texRes = 128.0
29.4850 	EXP 	image: texRes = 128.0
29.5518 	EXP 	image: texRes = 128.0
29.6180 	EXP 	image: texRes = 128.0
29.6846 	EXP 	image: texRes = 128.0
29.7509 	EXP 	image: texRes = 128.0
29.7516 	EXP 	New trial (rep=3, index=0): None
29.8348 	EXP 	image: autoDraw = False
29.8348 	EXP 	image: autoDraw = True
29.8348 	EXP 	image: texRes = 128.0
29.9009 	EXP 	image: texRes = 128.0
29.9846 	EXP 	image: texRes = 128.0
30.0518 	EXP 	image: texRes = 128.0
30.1179 	EXP 	image: texRes = 128.0
30.1849 	EXP 	image: texRes = 128.0
30.2516 	EXP 	image: texRes = 128.0
30.3187 	EXP 	image: texRes = 128.0
30.4017 	EXP 	image: texRes = 128.0
30.4686 	EXP 	image: texRes = 128.0
30.5349 	EXP 	image: texRes = 128.0
30.6011 	EXP 	image: texRes = 128.0
30.6682 	EXP 	image: texRes = 128.0
30.7351 	EXP 	image: texRes = 128.0
30.7356 	EXP 	New trial (rep=4, index=0): None
30.8007 	EXP 	image: autoDraw = False
30.8007 	EXP 	image: autoDraw = True
30.8007 	EXP 	image: texRes = 128.0
30.8673 	EXP 	image: texRes = 128.0
30.9344 	EXP 	image: texRes = 128.0
31.0006 	EXP 	image: texRes = 128.0
31.0676 	EXP 	image: texRes = 128.0
31.1340 	EXP 	image: texRes = 128.0
31.2008 	EXP 	image: texRes = 128.0
31.2673 	EXP 	image: texRes = 128.0
31.3339 	EXP 	image: texRes = 128.0
31.4019 	EXP 	image: texRes = 128.0
31.4677 	EXP 	image: texRes = 128.0
31.5343 	EXP 	image: texRes = 128.0
31.6012 	EXP 	image: texRes = 128.0
31.6676 	EXP 	image: texRes = 128.0
31.7350 	EXP 	image: texRes = 128.0
31.7357 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
31.7358 	EXP 	New trial (rep=0, index=0): None
31.7378 	EXP 	New trial (rep=1, index=0): None
31.7398 	EXP 	New trial (rep=2, index=0): None
31.7418 	EXP 	New trial (rep=3, index=0): None
31.7438 	EXP 	New trial (rep=4, index=0): None
31.7676 	EXP 	image: autoDraw = False
31.8521 	EXP 	window1: mouseVisible = True
