PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.391786099993624,None,11.357790299982298,None,space,4.5590017000213265,11.357790299982298,None,,,l,001,2021_Jul_01_1027,UniformityIllusion,2021.1.4,59.602214814628944,
0,0,0,0,,,,,,,,,,,,,15.990846900036559,None,l,001,2021_Jul_01_1027,UniformityIllusion,2021.1.4,59.602214814628944,
1,0,1,0,,,,,,,,,,,,,17.056878700037487,None,l,001,2021_Jul_01_1027,UniformityIllusion,2021.1.4,59.602214814628944,
2,0,2,0,,,,,,,,,,,,,18.056595300033223,None,l,001,2021_Jul_01_1027,UniformityIllusion,2021.1.4,59.602214814628944,
3,0,3,0,,,,,,,,,,,,,19.056886600039434,None,l,001,2021_Jul_01_1027,UniformityIllusion,2021.1.4,59.602214814628944,
4,0,4,0,,,,,,,,,,,,,20.055311000032816,None,l,001,2021_Jul_01_1027,UniformityIllusion,2021.1.4,59.602214814628944,
,,,,0,0,0,0,,,,,,,,,,,l,001,2021_Jul_01_1027,UniformityIllusion,2021.1.4,59.602214814628944,
,,,,1,0,1,0,,,,,,,,,,,l,001,2021_Jul_01_1027,UniformityIllusion,2021.1.4,59.602214814628944,
,,,,2,0,2,0,,,,,,,,,,,l,001,2021_Jul_01_1027,UniformityIllusion,2021.1.4,59.602214814628944,
,,,,3,0,3,0,,,,,,,,,,,l,001,2021_Jul_01_1027,UniformityIllusion,2021.1.4,59.602214814628944,
,,,,4,0,4,0,,,,,,,,,,,l,001,2021_Jul_01_1027,UniformityIllusion,2021.1.4,59.602214814628944,
