1.0372 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.4508 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.5758 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001341D27E3C8>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001341D312A58>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.5760 	EXP 	window1: mouseVisible = True
8.5760 	EXP 	window1: recordFrameIntervals = False
8.7416 	EXP 	window1: recordFrameIntervals = True
8.9257 	EXP 	window1: recordFrameIntervals = False
9.1499 	EXP 	Created WelcomeText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='WelcomeText', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Welcome to our Study!', units='height', win=Window(...), wrapWidth=1)
9.1717 	EXP 	Created instructionsText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructionsText', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
9.3352 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='stimuli\\\\3a.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
9.3918 	EXP 	WelcomeText: autoDraw = True
11.3578 	EXP 	WelcomeText: autoDraw = False
11.3578 	EXP 	instructionsText: autoDraw = True
15.9283 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
15.9285 	EXP 	New trial (rep=0, index=0): None
15.9705 	DATA 	Keypress: space
15.9908 	EXP 	instructionsText: autoDraw = False
15.9908 	EXP 	image: autoDraw = True
15.9908 	EXP 	image: texRes = 128.0
16.0569 	EXP 	image: texRes = 128.0
16.1238 	EXP 	image: texRes = 128.0
16.1906 	EXP 	image: texRes = 128.0
16.2567 	EXP 	image: texRes = 128.0
16.3227 	EXP 	image: texRes = 128.0
16.3901 	EXP 	image: texRes = 128.0
16.4565 	EXP 	image: texRes = 128.0
16.5238 	EXP 	image: texRes = 128.0
16.5904 	EXP 	image: texRes = 128.0
16.6570 	EXP 	image: texRes = 128.0
16.7233 	EXP 	image: texRes = 128.0
16.7906 	EXP 	image: texRes = 128.0
16.8572 	EXP 	image: texRes = 128.0
16.9240 	EXP 	image: texRes = 128.0
16.9899 	EXP 	image: texRes = 128.0
16.9906 	EXP 	New trial (rep=1, index=0): None
17.0569 	EXP 	image: autoDraw = False
17.0569 	EXP 	image: autoDraw = True
17.0569 	EXP 	image: texRes = 128.0
17.1229 	EXP 	image: texRes = 128.0
17.1895 	EXP 	image: texRes = 128.0
17.2570 	EXP 	image: texRes = 128.0
17.3230 	EXP 	image: texRes = 128.0
17.3900 	EXP 	image: texRes = 128.0
17.4563 	EXP 	image: texRes = 128.0
17.5226 	EXP 	image: texRes = 128.0
17.5903 	EXP 	image: texRes = 128.0
17.6563 	EXP 	image: texRes = 128.0
17.7225 	EXP 	image: texRes = 128.0
17.7903 	EXP 	image: texRes = 128.0
17.8571 	EXP 	image: texRes = 128.0
17.9229 	EXP 	image: texRes = 128.0
17.9895 	EXP 	image: texRes = 128.0
17.9900 	EXP 	New trial (rep=2, index=0): None
18.0566 	EXP 	image: autoDraw = False
18.0566 	EXP 	image: autoDraw = True
18.0566 	EXP 	image: texRes = 128.0
18.1236 	EXP 	image: texRes = 128.0
18.1894 	EXP 	image: texRes = 128.0
18.2561 	EXP 	image: texRes = 128.0
18.3228 	EXP 	image: texRes = 128.0
18.3893 	EXP 	image: texRes = 128.0
18.4570 	EXP 	image: texRes = 128.0
18.5226 	EXP 	image: texRes = 128.0
18.5889 	EXP 	image: texRes = 128.0
18.6560 	EXP 	image: texRes = 128.0
18.7227 	EXP 	image: texRes = 128.0
18.7892 	EXP 	image: texRes = 128.0
18.8556 	EXP 	image: texRes = 128.0
18.9229 	EXP 	image: texRes = 128.0
18.9893 	EXP 	image: texRes = 128.0
18.9899 	EXP 	New trial (rep=3, index=0): None
19.0569 	EXP 	image: autoDraw = False
19.0569 	EXP 	image: autoDraw = True
19.0569 	EXP 	image: texRes = 128.0
19.1228 	EXP 	image: texRes = 128.0
19.1889 	EXP 	image: texRes = 128.0
19.2559 	EXP 	image: texRes = 128.0
19.3229 	EXP 	image: texRes = 128.0
19.3889 	EXP 	image: texRes = 128.0
19.4563 	EXP 	image: texRes = 128.0
19.5221 	EXP 	image: texRes = 128.0
19.5896 	EXP 	image: texRes = 128.0
19.6568 	EXP 	image: texRes = 128.0
