1.0689 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.0858 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.1136 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000226573FE438>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022657492A90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.1138 	EXP 	window1: mouseVisible = True
7.1138 	EXP 	window1: recordFrameIntervals = False
7.2799 	EXP 	window1: recordFrameIntervals = True
7.4626 	EXP 	window1: recordFrameIntervals = False
7.6888 	EXP 	Created WelcomeText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='WelcomeText', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Welcome to our Study!', units='height', win=Window(...), wrapWidth=1)
7.7096 	EXP 	Created instructionsText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructionsText', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
7.8512 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='stimuli\\\\3a.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), texRes=128.0, units='height', win=Window(...))
7.8964 	EXP 	WelcomeText: autoDraw = True
9.8797 	EXP 	WelcomeText: autoDraw = False
9.8797 	EXP 	instructionsText: autoDraw = True
10.7828 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
10.7830 	EXP 	New trial (rep=0, index=0): None
10.8227 	DATA 	Keypress: space
10.8618 	EXP 	instructionsText: autoDraw = False
10.8618 	EXP 	image: autoDraw = True
10.8618 	EXP 	image: texRes = 128.0
10.9285 	EXP 	image: texRes = 128.0
10.9956 	EXP 	image: texRes = 128.0
11.0617 	EXP 	image: texRes = 128.0
11.1291 	EXP 	image: texRes = 128.0
11.1957 	EXP 	image: texRes = 128.0
11.2624 	EXP 	image: texRes = 128.0
11.3289 	EXP 	image: texRes = 128.0
11.3950 	EXP 	image: texRes = 128.0
11.4620 	EXP 	image: texRes = 128.0
11.5291 	EXP 	image: texRes = 128.0
11.5957 	EXP 	image: texRes = 128.0
11.6619 	EXP 	image: texRes = 128.0
11.7286 	EXP 	image: texRes = 128.0
11.7956 	EXP 	image: texRes = 128.0
11.8617 	EXP 	image: texRes = 128.0
11.9282 	EXP 	image: texRes = 128.0
11.9953 	EXP 	image: texRes = 128.0
12.0628 	EXP 	image: texRes = 128.0
12.1289 	EXP 	image: texRes = 128.0
12.1952 	EXP 	image: texRes = 128.0
12.2623 	EXP 	image: texRes = 128.0
12.3281 	EXP 	image: texRes = 128.0
12.3951 	EXP 	image: texRes = 128.0
12.4622 	EXP 	image: texRes = 128.0
12.5281 	EXP 	image: texRes = 128.0
12.5957 	EXP 	image: texRes = 128.0
12.6786 	EXP 	image: texRes = 128.0
12.7447 	EXP 	image: texRes = 128.0
12.8114 	EXP 	image: texRes = 128.0
12.8780 	EXP 	image: texRes = 128.0
12.9449 	EXP 	image: texRes = 128.0
13.0292 	EXP 	image: texRes = 128.0
13.0947 	EXP 	image: texRes = 128.0
13.1784 	EXP 	image: texRes = 128.0
13.2454 	EXP 	image: texRes = 128.0
13.3116 	EXP 	image: texRes = 128.0
13.3791 	EXP 	image: texRes = 128.0
13.4446 	EXP 	image: texRes = 128.0
13.5112 	EXP 	image: texRes = 128.0
13.5779 	EXP 	image: texRes = 128.0
13.6456 	EXP 	image: texRes = 128.0
13.7121 	EXP 	image: texRes = 128.0
13.7790 	EXP 	image: texRes = 128.0
13.8452 	EXP 	image: texRes = 128.0
13.9115 	EXP 	image: texRes = 128.0
13.9785 	EXP 	image: texRes = 128.0
14.0452 	EXP 	image: texRes = 128.0
14.1281 	EXP 	image: texRes = 128.0
14.2110 	EXP 	image: texRes = 128.0
14.2779 	EXP 	image: texRes = 128.0
14.3611 	EXP 	image: texRes = 128.0
14.4285 	EXP 	image: texRes = 128.0
14.5122 	EXP 	image: texRes = 128.0
14.5789 	EXP 	image: texRes = 128.0
14.6451 	EXP 	image: texRes = 128.0
14.7276 	EXP 	image: texRes = 128.0
14.7943 	EXP 	image: texRes = 128.0
14.8614 	EXP 	image: texRes = 128.0
14.9284 	EXP 	image: texRes = 128.0
14.9946 	EXP 	image: texRes = 128.0
15.0608 	EXP 	image: texRes = 128.0
15.1445 	EXP 	image: texRes = 128.0
15.2276 	EXP 	image: texRes = 128.0
15.2950 	EXP 	image: texRes = 128.0
15.3615 	EXP 	image: texRes = 128.0
15.4285 	EXP 	image: texRes = 128.0
15.4950 	EXP 	image: texRes = 128.0
15.5612 	EXP 	image: texRes = 128.0
15.6277 	EXP 	image: texRes = 128.0
15.6949 	EXP 	image: texRes = 128.0
15.7620 	EXP 	image: texRes = 128.0
15.8279 	EXP 	image: texRes = 128.0
15.8947 	EXP 	image: texRes = 128.0
15.9615 	EXP 	image: texRes = 128.0
16.0279 	EXP 	image: texRes = 128.0
16.0956 	EXP 	image: texRes = 128.0
16.1774 	EXP 	image: texRes = 128.0
16.2448 	EXP 	image: texRes = 128.0
16.3115 	EXP 	image: texRes = 128.0
16.3945 	EXP 	image: texRes = 128.0
16.4607 	EXP 	image: texRes = 128.0
16.5273 	EXP 	image: texRes = 128.0
16.5944 	EXP 	image: texRes = 128.0
16.6608 	EXP 	image: texRes = 128.0
16.7272 	EXP 	image: texRes = 128.0
16.7939 	EXP 	image: texRes = 128.0
16.8609 	EXP 	image: texRes = 128.0
16.9280 	EXP 	image: texRes = 128.0
16.9939 	EXP 	image: texRes = 128.0
17.0606 	EXP 	image: texRes = 128.0
17.1272 	EXP 	image: texRes = 128.0
17.1942 	EXP 	image: texRes = 128.0
17.2605 	EXP 	image: texRes = 128.0
17.3282 	EXP 	image: texRes = 128.0
17.3950 	EXP 	image: texRes = 128.0
17.4605 	EXP 	image: texRes = 128.0
17.5271 	EXP 	image: texRes = 128.0
17.5938 	EXP 	image: texRes = 128.0
17.6605 	EXP 	image: texRes = 128.0
17.7271 	EXP 	image: texRes = 128.0
17.7941 	EXP 	image: texRes = 128.0
17.8608 	EXP 	image: texRes = 128.0
17.9270 	EXP 	image: texRes = 128.0
17.9937 	EXP 	image: texRes = 128.0
18.0603 	EXP 	image: texRes = 128.0
18.1278 	EXP 	image: texRes = 128.0
18.1941 	EXP 	image: texRes = 128.0
18.2604 	EXP 	image: texRes = 128.0
18.3277 	EXP 	image: texRes = 128.0
18.3944 	EXP 	image: texRes = 128.0
18.4607 	EXP 	image: texRes = 128.0
18.5269 	EXP 	image: texRes = 128.0
18.5943 	EXP 	image: texRes = 128.0
18.6607 	EXP 	image: texRes = 128.0
18.7276 	EXP 	image: texRes = 128.0
18.7936 	EXP 	image: texRes = 128.0
18.8611 	EXP 	image: texRes = 128.0
18.9443 	EXP 	image: texRes = 128.0
19.0108 	EXP 	image: texRes = 128.0
19.0772 	EXP 	image: texRes = 128.0
19.1439 	EXP 	image: texRes = 128.0
19.2101 	EXP 	image: texRes = 128.0
19.2771 	EXP 	image: texRes = 128.0
19.3446 	EXP 	image: texRes = 128.0
19.4101 	EXP 	image: texRes = 128.0
19.4767 	EXP 	image: texRes = 128.0
19.5434 	EXP 	image: texRes = 128.0
19.6100 	EXP 	image: texRes = 128.0
19.6770 	EXP 	image: texRes = 128.0
19.7437 	EXP 	image: texRes = 128.0
19.8100 	EXP 	image: texRes = 128.0
19.8766 	EXP 	image: texRes = 128.0
19.9435 	EXP 	image: texRes = 128.0
20.0102 	EXP 	image: texRes = 128.0
20.0936 	EXP 	image: texRes = 128.0
20.1778 	EXP 	image: texRes = 128.0
20.2438 	EXP 	image: texRes = 128.0
20.3103 	EXP 	image: texRes = 128.0
20.3770 	EXP 	image: texRes = 128.0
20.4437 	EXP 	image: texRes = 128.0
20.5101 	EXP 	image: texRes = 128.0
20.5772 	EXP 	image: texRes = 128.0
20.6604 	EXP 	image: texRes = 128.0
20.7266 	EXP 	image: texRes = 128.0
20.7935 	EXP 	image: texRes = 128.0
20.7941 	EXP 	New trial (rep=1, index=0): None
20.8605 	EXP 	image: autoDraw = False
20.8605 	EXP 	image: autoDraw = True
20.8605 	EXP 	image: texRes = 128.0
20.9272 	EXP 	image: texRes = 128.0
20.9931 	EXP 	image: texRes = 128.0
21.0599 	EXP 	image: texRes = 128.0
21.1264 	EXP 	image: texRes = 128.0
21.1938 	EXP 	image: texRes = 128.0
21.2597 	EXP 	image: texRes = 128.0
21.3264 	EXP 	image: texRes = 128.0
21.3930 	EXP 	image: texRes = 128.0
21.4597 	EXP 	image: texRes = 128.0
21.5270 	EXP 	image: texRes = 128.0
21.5930 	EXP 	image: texRes = 128.0
21.6602 	EXP 	image: texRes = 128.0
21.7264 	EXP 	image: texRes = 128.0
21.7930 	EXP 	image: texRes = 128.0
21.8598 	EXP 	image: texRes = 128.0
21.9272 	EXP 	image: texRes = 128.0
21.9931 	EXP 	image: texRes = 128.0
22.0599 	EXP 	image: texRes = 128.0
22.1270 	EXP 	image: texRes = 128.0
22.1929 	EXP 	image: texRes = 128.0
22.2768 	EXP 	image: texRes = 128.0
22.3428 	EXP 	image: texRes = 128.0
22.4099 	EXP 	image: texRes = 128.0
22.4766 	EXP 	image: texRes = 128.0
22.5436 	EXP 	image: texRes = 128.0
22.6095 	EXP 	image: texRes = 128.0
22.6766 	EXP 	image: texRes = 128.0
22.7432 	EXP 	image: texRes = 128.0
22.8094 	EXP 	image: texRes = 128.0
22.8762 	EXP 	image: texRes = 128.0
22.9428 	EXP 	image: texRes = 128.0
23.0094 	EXP 	image: texRes = 128.0
23.0760 	EXP 	image: texRes = 128.0
23.1432 	EXP 	image: texRes = 128.0
23.2104 	EXP 	image: texRes = 128.0
23.2762 	EXP 	image: texRes = 128.0
23.3436 	EXP 	image: texRes = 128.0
23.4264 	EXP 	image: texRes = 128.0
23.4934 	EXP 	image: texRes = 128.0
23.5601 	EXP 	image: texRes = 128.0
23.6267 	EXP 	image: texRes = 128.0
23.6937 	EXP 	image: texRes = 128.0
23.7601 	EXP 	image: texRes = 128.0
23.8259 	EXP 	image: texRes = 128.0
23.8929 	EXP 	image: texRes = 128.0
23.9592 	EXP 	image: texRes = 128.0
24.0258 	EXP 	image: texRes = 128.0
24.0929 	EXP 	image: texRes = 128.0
24.1596 	EXP 	image: texRes = 128.0
24.2424 	EXP 	image: texRes = 128.0
24.3100 	EXP 	image: texRes = 128.0
24.3938 	EXP 	image: texRes = 128.0
24.4591 	EXP 	image: texRes = 128.0
24.5261 	EXP 	image: texRes = 128.0
24.5924 	EXP 	image: texRes = 128.0
24.6597 	EXP 	image: texRes = 128.0
24.7261 	EXP 	image: texRes = 128.0
24.7925 	EXP 	image: texRes = 128.0
24.8591 	EXP 	image: texRes = 128.0
24.9257 	EXP 	image: texRes = 128.0
24.9935 	EXP 	image: texRes = 128.0
25.0596 	EXP 	image: texRes = 128.0
25.1257 	EXP 	image: texRes = 128.0
25.1923 	EXP 	image: texRes = 128.0
25.2594 	EXP 	image: texRes = 128.0
25.3259 	EXP 	image: texRes = 128.0
25.4089 	EXP 	image: texRes = 128.0
25.4765 	EXP 	image: texRes = 128.0
25.5423 	EXP 	image: texRes = 128.0
25.6089 	EXP 	image: texRes = 128.0
25.6762 	EXP 	image: texRes = 128.0
25.7593 	EXP 	image: texRes = 128.0
25.8267 	EXP 	image: texRes = 128.0
25.9088 	EXP 	image: texRes = 128.0
25.9760 	EXP 	image: texRes = 128.0
26.0606 	EXP 	image: texRes = 128.0
26.1004 	DATA 	Keypress: escape
26.1262 	EXP 	image: texRes = 128.0
26.1921 	EXP 	image: texRes = 128.0
26.3113 	EXP 	window1: mouseVisible = True
