startImage,endImage,AB,PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,DepressionQuestionnaire.index,DepressionQuestionnaire.itemText,DepressionQuestionnaire.type,DepressionQuestionnaire.response,DepressionQuestionnaire.rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,hasPeriphery.started,hasPeriphery.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,noPeriphery.started,noPeriphery.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,58.0753899999836,None,Sadness,test,choice,None,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1253,UniformityIllusion,2021.1.4,60.54467197750447,
,,,,,,,,,,,,,,,,,,60.17475389997708,None,1,[0.734040700015612],[0.7340452000207733],60.87465989997145,None,space,0.5395334000058938,60.87465989997145,None,,,,,,,,,,,,001,2021_Jul_09_1253,UniformityIllusion,2021.1.4,60.54467197750447,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,a,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,61.64194689999567,None,space,1.2596158000233117,61.64194689999567,None,61.64194689999567,None,61.64194689999567,None,,001,2021_Jul_09_1253,UniformityIllusion,2021.1.4,60.54467197750447,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,63.157956799987005,None,space,0.4796135999786202,63.157956799987005,None,63.157956799987005,None,63.157956799987005,None,,001,2021_Jul_09_1253,UniformityIllusion,2021.1.4,60.54467197750447,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,63.90744289997383,None,space,0.45935749998898245,63.90744289997383,None,63.90744289997383,None,63.90744289997383,None,,001,2021_Jul_09_1253,UniformityIllusion,2021.1.4,60.54467197750447,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2b.png,b,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,64.64099719998194,None,space,0.34876320001785643,64.64099719998194,None,64.64099719998194,None,64.64099719998194,None,,001,2021_Jul_09_1253,UniformityIllusion,2021.1.4,60.54467197750447,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2b.png,b,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1253,UniformityIllusion,2021.1.4,60.54467197750447,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,a,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1253,UniformityIllusion,2021.1.4,60.54467197750447,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1b.png,b,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1253,UniformityIllusion,2021.1.4,60.54467197750447,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1253,UniformityIllusion,2021.1.4,60.54467197750447,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1253,UniformityIllusion,2021.1.4,60.54467197750447,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,a,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1253,UniformityIllusion,2021.1.4,60.54467197750447,
