startImage,endImage,AB,PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,DepressionQuestionnaire.index,DepressionQuestionnaire.itemText,DepressionQuestionnaire.type,DepressionQuestionnaire.response,DepressionQuestionnaire.rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,hasPeriphery.started,hasPeriphery.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,noPeriphery.started,noPeriphery.stopped,text.started,text.stopped,hasPeriphery_2.started,hasPeriphery_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,noPeriphery_2.started,noPeriphery_2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.726999100006651,None,Sadness,test,choice,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1424,UniformityIllusion,2021.1.4,60.009313439516944,
,,,,,,,,,,,,,,,,,,9.79368170001544,None,1,[1.1008956999867223],[1.1009019000048283],10.860522300004959,None,space,1.8294617000210565,10.860522300004959,None,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_09_1424,UniformityIllusion,2021.1.4,60.009313439516944,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,a,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,12.926798100001179,None,space,2.179138300009072,12.926798100001179,None,12.926798100001179,None,12.926798100001179,None,,,,,,,,,,,,001,2021_Jul_09_1424,UniformityIllusion,2021.1.4,60.009313439516944,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1b.png,b,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,15.409005699999398,None,space,0.9612904000096023,15.409005699999398,None,15.409005699999398,None,15.409005699999398,None,,,,,,,,,,,,001,2021_Jul_09_1424,UniformityIllusion,2021.1.4,60.009313439516944,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,16.625554700003704,None,space,1.5443357999902219,16.625554700003704,None,16.625554700003704,None,16.625554700003704,None,,,,,,,,,,,,001,2021_Jul_09_1424,UniformityIllusion,2021.1.4,60.009313439516944,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2b.png,b,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,18.442090700002154,None,space,2.0000941999896895,18.442090700002154,None,18.442090700002154,None,18.442090700002154,None,,,,,,,,,,,,001,2021_Jul_09_1424,UniformityIllusion,2021.1.4,60.009313439516944,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,a,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,20.691094400011934,None,space,0.24707059998763725,20.691094400011934,None,20.691094400011934,None,20.691094400011934,None,,,,,,,,,,,,001,2021_Jul_09_1424,UniformityIllusion,2021.1.4,60.009313439516944,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,21.19140179999522,None,space,0.7146751999971457,21.19140179999522,None,21.19140179999522,None,21.19140179999522,None,,,,,,,,,,,,001,2021_Jul_09_1424,UniformityIllusion,2021.1.4,60.009313439516944,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4a.png,a,,,,,0,0,0,0,22.007795500016073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,24.190352500008885,None,space,2.196632600011071,24.190352500008885,None,24.190352500008885,None,24.190352500008885,None,,001,2021_Jul_09_1424,UniformityIllusion,2021.1.4,60.009313439516944,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4b.png,b,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.70657000000938,None,space,0.04848299999139272,26.70657000000938,None,26.70657000000938,None,26.70657000000938,None,,001,2021_Jul_09_1424,UniformityIllusion,2021.1.4,60.009313439516944,
