1.1414 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.6764 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000024571D946D8>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000024571D68D68>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.6767 	EXP 	window1: mouseVisible = True
7.6767 	EXP 	window1: recordFrameIntervals = False
7.8422 	EXP 	window1: recordFrameIntervals = True
8.0264 	EXP 	window1: recordFrameIntervals = False
8.4905 	EXP 	Created WelcomeText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='WelcomeText', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Welcome to our Study!', units='height', win=Window(...), wrapWidth=1)
8.5072 	EXP 	Created instructionsText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructionsText', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
8.6573 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='stimuli\\\\3a.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), texRes=128.0, units='height', win=Window(...))
8.6616 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
8.7081 	EXP 	WelcomeText: autoDraw = True
9.4120 	DATA 	Keypress: space
10.6919 	EXP 	WelcomeText: autoDraw = False
10.6919 	EXP 	instructionsText: autoDraw = True
10.9641 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
10.9643 	EXP 	New trial (rep=0, index=0): None
11.0069 	DATA 	Keypress: space
11.0419 	EXP 	instructionsText: autoDraw = False
11.0419 	EXP 	image: autoDraw = True
11.0419 	EXP 	image: texRes = 128.0
11.0419 	EXP 	text: autoDraw = True
11.1078 	EXP 	image: texRes = 128.0
11.1749 	EXP 	image: texRes = 128.0
11.2418 	EXP 	image: texRes = 128.0
11.3248 	EXP 	image: texRes = 128.0
11.4080 	EXP 	image: texRes = 128.0
11.4747 	EXP 	image: texRes = 128.0
11.5418 	EXP 	image: texRes = 128.0
11.6246 	EXP 	image: texRes = 128.0
11.6913 	EXP 	image: texRes = 128.0
11.7583 	EXP 	image: texRes = 128.0
11.8416 	EXP 	image: texRes = 128.0
11.9256 	EXP 	image: texRes = 128.0
11.9753 	EXP 	New trial (rep=1, index=0): None
12.0243 	DATA 	Keypress: space
12.0577 	EXP 	image: texRes = 128.0
12.0577 	EXP 	image: autoDraw = False
12.0577 	EXP 	text: autoDraw = False
12.0577 	EXP 	image: autoDraw = True
12.0577 	EXP 	image: texRes = 128.0
12.0577 	EXP 	text: autoDraw = True
12.1417 	EXP 	image: texRes = 128.0
12.2253 	EXP 	image: texRes = 128.0
12.2914 	EXP 	image: texRes = 128.0
12.3743 	EXP 	image: texRes = 128.0
12.4410 	EXP 	image: texRes = 128.0
12.5245 	EXP 	image: texRes = 128.0
12.5917 	EXP 	image: texRes = 128.0
12.6753 	EXP 	image: texRes = 128.0
12.7409 	EXP 	image: texRes = 128.0
12.8084 	EXP 	image: texRes = 128.0
12.8743 	EXP 	image: texRes = 128.0
12.9415 	EXP 	image: texRes = 128.0
13.0243 	EXP 	image: texRes = 128.0
13.1078 	EXP 	image: texRes = 128.0
13.1751 	EXP 	image: texRes = 128.0
13.2576 	EXP 	image: texRes = 128.0
13.3252 	EXP 	image: texRes = 128.0
13.4083 	EXP 	image: texRes = 128.0
13.4750 	EXP 	image: texRes = 128.0
13.5412 	EXP 	image: texRes = 128.0
13.6076 	EXP 	image: texRes = 128.0
13.6749 	EXP 	image: texRes = 128.0
13.7409 	EXP 	image: texRes = 128.0
13.8076 	EXP 	image: texRes = 128.0
13.8754 	EXP 	image: texRes = 128.0
13.9587 	EXP 	image: texRes = 128.0
14.0004 	EXP 	New trial (rep=2, index=0): None
14.0425 	DATA 	Keypress: space
14.0749 	EXP 	image: texRes = 128.0
14.0749 	EXP 	image: autoDraw = False
14.0749 	EXP 	text: autoDraw = False
14.0749 	EXP 	image: autoDraw = True
14.0749 	EXP 	image: texRes = 128.0
14.0749 	EXP 	text: autoDraw = True
14.1583 	EXP 	image: texRes = 128.0
14.2421 	EXP 	image: texRes = 128.0
14.3241 	EXP 	image: texRes = 128.0
14.4082 	EXP 	image: texRes = 128.0
14.4748 	EXP 	image: texRes = 128.0
14.5412 	EXP 	image: texRes = 128.0
14.6086 	EXP 	image: texRes = 128.0
14.6917 	EXP 	image: texRes = 128.0
14.7744 	EXP 	image: texRes = 128.0
14.8412 	EXP 	image: texRes = 128.0
14.9074 	EXP 	image: texRes = 128.0
14.9753 	EXP 	image: texRes = 128.0
15.0587 	EXP 	image: texRes = 128.0
15.1244 	EXP 	image: texRes = 128.0
15.2082 	EXP 	image: texRes = 128.0
15.2745 	EXP 	image: texRes = 128.0
15.3415 	EXP 	image: texRes = 128.0
15.4243 	EXP 	image: texRes = 128.0
15.4908 	EXP 	image: texRes = 128.0
15.5575 	EXP 	image: texRes = 128.0
15.6250 	EXP 	image: texRes = 128.0
15.6916 	EXP 	image: texRes = 128.0
15.7751 	EXP 	image: texRes = 128.0
15.8412 	EXP 	image: texRes = 128.0
15.9245 	EXP 	image: texRes = 128.0
15.9914 	EXP 	image: texRes = 128.0
16.0574 	EXP 	image: texRes = 128.0
16.1240 	EXP 	image: texRes = 128.0
16.2083 	EXP 	image: texRes = 128.0
16.2913 	EXP 	image: texRes = 128.0
16.3746 	EXP 	image: texRes = 128.0
16.4413 	EXP 	image: texRes = 128.0
16.5248 	EXP 	image: texRes = 128.0
16.6074 	EXP 	image: texRes = 128.0
16.6915 	EXP 	image: texRes = 128.0
16.7743 	EXP 	image: texRes = 128.0
16.8577 	EXP 	image: texRes = 128.0
16.8999 	EXP 	New trial (rep=3, index=0): None
16.9409 	DATA 	Keypress: space
16.9743 	EXP 	image: texRes = 128.0
16.9743 	EXP 	image: autoDraw = False
16.9743 	EXP 	text: autoDraw = False
16.9743 	EXP 	image: autoDraw = True
16.9743 	EXP 	image: texRes = 128.0
16.9743 	EXP 	text: autoDraw = True
17.0577 	EXP 	image: texRes = 128.0
17.1406 	EXP 	image: texRes = 128.0
17.2243 	EXP 	image: texRes = 128.0
17.3072 	EXP 	image: texRes = 128.0
17.3910 	EXP 	image: texRes = 128.0
17.4573 	EXP 	image: texRes = 128.0
17.5406 	EXP 	image: texRes = 128.0
17.6072 	EXP 	image: texRes = 128.0
17.6742 	EXP 	image: texRes = 128.0
17.7405 	EXP 	image: texRes = 128.0
17.8238 	EXP 	image: texRes = 128.0
17.8907 	EXP 	image: texRes = 128.0
17.9738 	EXP 	image: texRes = 128.0
18.0573 	EXP 	image: texRes = 128.0
18.1405 	EXP 	image: texRes = 128.0
18.2239 	EXP 	image: texRes = 128.0
18.3075 	EXP 	image: texRes = 128.0
18.3909 	EXP 	image: texRes = 128.0
18.4572 	EXP 	image: texRes = 128.0
18.5242 	EXP 	image: texRes = 128.0
18.6075 	EXP 	image: texRes = 128.0
18.6742 	EXP 	image: texRes = 128.0
18.7571 	EXP 	image: texRes = 128.0
18.8241 	EXP 	image: texRes = 128.0
18.9075 	EXP 	image: texRes = 128.0
18.9912 	EXP 	image: texRes = 128.0
19.0340 	EXP 	New trial (rep=4, index=0): None
19.0765 	DATA 	Keypress: space
19.1073 	EXP 	image: texRes = 128.0
19.1073 	EXP 	image: autoDraw = False
19.1073 	EXP 	text: autoDraw = False
19.1073 	EXP 	image: autoDraw = True
19.1073 	EXP 	image: texRes = 128.0
19.1073 	EXP 	text: autoDraw = True
19.1908 	EXP 	image: texRes = 128.0
19.2737 	EXP 	image: texRes = 128.0
19.3572 	EXP 	image: texRes = 128.0
19.4403 	EXP 	image: texRes = 128.0
19.5071 	EXP 	image: texRes = 128.0
19.5911 	EXP 	image: texRes = 128.0
19.6744 	EXP 	image: texRes = 128.0
19.7580 	EXP 	image: texRes = 128.0
19.8407 	EXP 	image: texRes = 128.0
19.9240 	EXP 	image: texRes = 128.0
20.0078 	EXP 	image: texRes = 128.0
20.0903 	EXP 	image: texRes = 128.0
20.1745 	EXP 	image: texRes = 128.0
20.2574 	EXP 	image: texRes = 128.0
20.3410 	EXP 	image: texRes = 128.0
20.4246 	EXP 	image: texRes = 128.0
20.5081 	EXP 	image: texRes = 128.0
20.5903 	EXP 	image: texRes = 128.0
20.6742 	EXP 	image: texRes = 128.0
20.7581 	EXP 	image: texRes = 128.0
20.7997 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
20.7999 	EXP 	New trial (rep=0, index=0): None
20.8019 	EXP 	New trial (rep=1, index=0): None
20.8039 	EXP 	New trial (rep=2, index=0): None
20.8061 	EXP 	New trial (rep=3, index=0): None
20.8079 	EXP 	New trial (rep=4, index=0): None
20.8122 	DATA 	Keypress: space
20.8244 	EXP 	image: texRes = 128.0
20.8244 	EXP 	image: autoDraw = False
20.8244 	EXP 	text: autoDraw = False
20.9565 	EXP 	window1: mouseVisible = True
