PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,image.started,image.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.841843600000175,None,14.825046500000099,None,space,1.5598161999996591,14.825046500000099,None,,,,,,,,,d,001,2021_Jul_07_1626,UniformityIllusion,2021.1.4,60.1856003541677,
0,0,0,0,,,,,,,,,,,,,16.474366500000542,None,16.474366500000542,None,space,1.11850719999984,16.474366500000542,None,d,001,2021_Jul_07_1626,UniformityIllusion,2021.1.4,60.1856003541677,
1,0,1,0,,,,,,,,,,,,,17.674213999999665,None,17.674213999999665,None,space,0.6231594999999288,17.674213999999665,None,d,001,2021_Jul_07_1626,UniformityIllusion,2021.1.4,60.1856003541677,
2,0,2,0,,,,,,,,,,,,,18.424196799999663,None,18.424196799999663,None,space,0.41649540000071283,18.424196799999663,None,d,001,2021_Jul_07_1626,UniformityIllusion,2021.1.4,60.1856003541677,
3,0,3,0,,,,,,,,,,,,,18.95741249999992,None,18.95741249999992,None,space,0.38769350000075065,18.95741249999992,None,d,001,2021_Jul_07_1626,UniformityIllusion,2021.1.4,60.1856003541677,
4,0,4,0,,,,,,,,,,,,,19.441829100000177,None,19.441829100000177,None,space,0.34416460000011284,19.441829100000177,None,d,001,2021_Jul_07_1626,UniformityIllusion,2021.1.4,60.1856003541677,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1626,UniformityIllusion,2021.1.4,60.1856003541677,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1626,UniformityIllusion,2021.1.4,60.1856003541677,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1626,UniformityIllusion,2021.1.4,60.1856003541677,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1626,UniformityIllusion,2021.1.4,60.1856003541677,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1626,UniformityIllusion,2021.1.4,60.1856003541677,
