PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,image.started,image.stopped,text.started,text.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,10.768997900000613,None,12.734653700000308,None,space,0.5178401999992275,12.734653700000308,None,,,,,,,,d,001,2021_Jul_07_1659,UniformityIllusion,2021.1.4,60.04170496845385,
0,0,0,0,,,,,,,,,,,,,13.334636600000522,None,13.334636600000522,None,None,13.334636600000522,None,d,001,2021_Jul_07_1659,UniformityIllusion,2021.1.4,60.04170496845385,
1,0,1,0,,,,,,,,,,,,,None,None,None,None,None,None,None,d,001,2021_Jul_07_1659,UniformityIllusion,2021.1.4,60.04170496845385,
2,0,2,0,,,,,,,,,,,,,None,None,None,None,None,None,None,d,001,2021_Jul_07_1659,UniformityIllusion,2021.1.4,60.04170496845385,
3,0,3,0,,,,,,,,,,,,,None,None,None,None,None,None,None,d,001,2021_Jul_07_1659,UniformityIllusion,2021.1.4,60.04170496845385,
4,0,4,0,,,,,,,,,,,,,None,None,None,None,None,None,None,d,001,2021_Jul_07_1659,UniformityIllusion,2021.1.4,60.04170496845385,
,,,,0,0,0,0,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1659,UniformityIllusion,2021.1.4,60.04170496845385,
,,,,1,0,1,0,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1659,UniformityIllusion,2021.1.4,60.04170496845385,
,,,,2,0,2,0,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1659,UniformityIllusion,2021.1.4,60.04170496845385,
,,,,3,0,3,0,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1659,UniformityIllusion,2021.1.4,60.04170496845385,
,,,,4,0,4,0,,,,,,,,,,,,,,,,d,001,2021_Jul_07_1659,UniformityIllusion,2021.1.4,60.04170496845385,
