startImage,endImage,AB,PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,DepressionQuestionnaire.index,DepressionQuestionnaire.itemText,DepressionQuestionnaire.type,DepressionQuestionnaire.Scoring,DepressionQuestionnaire.response,DepressionQuestionnaire.rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,hasPeriphery.started,hasPeriphery.stopped,key_resp.keys,key_resp.started,key_resp.stopped,noPeriphery.started,noPeriphery.stopped,text.started,text.stopped,hasPeriphery_2.started,hasPeriphery_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,noPeriphery_2.started,noPeriphery_2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,16.029896699999995,None,Sadness,Sadness,choice,"0,1,2,3",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
,,,,,,,,,,,,,Pessimism,Pessimism,choice,"0,1,2,3",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
,,,,,,,,,,,,,,,,,,,18.12905599999999,None,1,[1.6636924999999962],[1.6636972999999955],19.74848130000001,None,space,0.8950628000000052,19.74848130000001,None,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,a,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,20.828805500000016,None,None,20.828805500000016,None,20.828805500000016,None,20.828805500000016,None,,,,,,,,,,,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1b.png,b,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,21.078835400000045,None,None,21.078835400000045,None,21.078835400000045,None,21.078835400000045,None,,,,,,,,,,,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,21.445434000000006,None,None,21.445434000000006,None,21.445434000000006,None,21.445434000000006,None,,,,,,,,,,,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2b.png,b,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,21.783676520000014,None,None,21.783676520000014,None,21.783676520000014,None,21.783676520000014,None,,,,,,,,,,,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,a,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,21.950363120000034,None,None,21.950363120000034,None,21.950363120000034,None,21.950363120000034,None,,,,,,,,,,,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,22.133718380000058,None,None,22.133718380000058,None,22.133718380000058,None,22.133718380000058,None,,,,,,,,,,,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4a.png,a,,,,,0,0,0,0,22.246479100000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5140677,None,space,2.4179615000000183,24.5140677,None,24.5140677,None,24.5140677,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4b.png,b,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.278234700000013,None,None,,27.278234700000013,None,27.278234700000013,None,27.278234700000013,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\5start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\5a.png,a,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.461539580000018,None,None,,30.461539580000018,None,30.461539580000018,None,30.461539580000018,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\5start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\5b.png,b,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.832106400000015,None,space,3.259247799999997,30.832106400000015,None,30.832106400000015,None,30.832106400000015,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\6start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\6a.png,a,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.49730389999999,None,space,3.7797405999999967,34.49730389999999,None,34.49730389999999,None,34.49730389999999,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\6start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\6b.png,b,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7106718,None,space,0.5424458999999899,38.7106718,None,38.7106718,None,38.7106718,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\7start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\7a.png,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5960173,None,space,0.43319159999998647,39.5960173,None,39.5960173,None,39.5960173,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\7start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\7b.png,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.53021900000002,None,space,3.083368899999982,40.53021900000002,None,40.53021900000002,None,40.53021900000002,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\8start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\8a.png,None,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0600269,None,space,1.2977486000000056,44.0600269,None,44.0600269,None,44.0600269,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\8start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\8b.png,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.759931800000004,None,space,0.6298799999999858,45.759931800000004,None,45.759931800000004,None,45.759931800000004,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\9start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\9a.png,None,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.759826300000014,None,space,0.43809269999999856,46.759826300000014,None,46.759826300000014,None,46.759826300000014,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\9start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\9b.png,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.59329629999999,None,space,0.3087314999999933,47.59329629999999,None,47.59329629999999,None,47.59329629999999,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\10start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\10a.png,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.25969280000001,None,space,0.11431870000001254,48.25969280000001,None,48.25969280000001,None,48.25969280000001,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\10start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\10b.png,None,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.860392399999995,None,space,0.42570969999999875,48.860392399999995,None,48.860392399999995,None,48.860392399999995,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\11start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\11a.png,None,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.67633520000001,None,space,0.04986900000000105,49.67633520000001,None,49.67633520000001,None,49.67633520000001,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\11start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\11b.png,None,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.076117400000015,None,space,0.14601209999997877,50.076117400000015,None,50.076117400000015,None,50.076117400000015,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\12start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\12a.png,None,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.627300399999996,None,space,0.36296100000001275,50.627300399999996,None,50.627300399999996,None,50.627300399999996,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\12start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\12b.png,None,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.39281060000002,None,space,1.9976044999999942,51.39281060000002,None,51.39281060000002,None,51.39281060000002,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\13start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\13a.png,None,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.927154400000006,None,space,0.10336870000000431,53.927154400000006,None,53.927154400000006,None,53.927154400000006,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\13start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\13b.png,None,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.598668599999996,None,space,0.13583630000002245,54.598668599999996,None,54.598668599999996,None,54.598668599999996,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\14start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\14a.png,None,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.27566340000001,None,space,0.6029228999999816,55.27566340000001,None,55.27566340000001,None,55.27566340000001,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\14start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\14b.png,None,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.210664699999995,None,space,0.21207200000000626,56.210664699999995,None,56.210664699999995,None,56.210664699999995,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\15start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\15a.png,None,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.79418770000001,None,space,0.36470090000000255,56.79418770000001,None,56.79418770000001,None,56.79418770000001,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\15start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\15b.png,None,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.52572549999999,None,space,1.873251300000021,57.52572549999999,None,57.52572549999999,None,57.52572549999999,None,,001,2021_Jul_14_1403,UniformityIllusion,2021.1.4,60.6714018673454,
