startImage,endImage,AB,PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,DepressionQuestionnaire.index,DepressionQuestionnaire.itemText,DepressionQuestionnaire.type,DepressionQuestionnaire.Scoring,DepressionQuestionnaire.response,DepressionQuestionnaire.rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,hasPeriphery.started,hasPeriphery.stopped,key_resp.keys,key_resp.started,key_resp.stopped,noPeriphery.started,noPeriphery.stopped,text.started,text.stopped,key_resp.rt,hasPeriphery_2.started,hasPeriphery_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,noPeriphery_2.started,noPeriphery_2.stopped,text_2.started,text_2.stopped,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,11.562819199999922,None,Sadness,Sadness,choice,"0,1,2,3",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_14_1444,UniformityIllusion,2021.1.4,60.98274919990995,
,,,,,,,,,,,,,Pessimism,Pessimism,choice,"0,1,2,3",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_14_1444,UniformityIllusion,2021.1.4,60.98274919990995,
,,,,,,,,,,,,,,,,,,,13.648898700000245,None,1,[1.2379713999998785],[1.2379770999996254],14.830047500000092,None,space,1.4267062999997506,14.830047500000092,None,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_14_1444,UniformityIllusion,2021.1.4,60.98274919990995,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,a,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,16.599066199999925,None,None,16.599066199999925,None,16.599066199999925,None,16.599066199999925,None,,,,,,,,,,,,,001,2021_Jul_14_1444,UniformityIllusion,2021.1.4,60.98274919990995,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1b.png,b,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,18.947756660000323,None,None,18.947756660000323,None,18.947756660000323,None,18.947756660000323,None,,,,,,,,,,,,,001,2021_Jul_14_1444,UniformityIllusion,2021.1.4,60.98274919990995,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,19.265519099999892,None,space,19.265519099999892,None,19.265519099999892,None,19.265519099999892,None,0.0375662999999804,,,,,,,,,,,,001,2021_Jul_14_1444,UniformityIllusion,2021.1.4,60.98274919990995,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2b.png,b,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,19.578773199999887,None,None,19.578773199999887,None,19.578773199999887,None,19.578773199999887,None,,,,,,,,,,,,,001,2021_Jul_14_1444,UniformityIllusion,2021.1.4,60.98274919990995,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,a,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,21.059317040000224,None,None,21.059317040000224,None,21.059317040000224,None,21.059317040000224,None,,,,,,,,,,,,,001,2021_Jul_14_1444,UniformityIllusion,2021.1.4,60.98274919990995,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,21.41181000000006,None,space,21.41181000000006,None,21.41181000000006,None,21.41181000000006,None,1.6836585999999443,,,,,,,,,,,,001,2021_Jul_14_1444,UniformityIllusion,2021.1.4,60.98274919990995,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4a.png,a,,,,,0,0,0,0,23.194723300000078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.326151080000272,None,None,25.326151080000272,None,25.326151080000272,None,25.326151080000272,None,,,001,2021_Jul_14_1444,UniformityIllusion,2021.1.4,60.98274919990995,
