startImage,midImage,endImage,AB,PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,DepressionQuestionnaire.index,DepressionQuestionnaire.itemText,DepressionQuestionnaire.type,DepressionQuestionnaire.Scoring,DepressionQuestionnaire.response,DepressionQuestionnaire.rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,stimulusInterval,hasPeriphery.started,hasPeriphery.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,noPeriphery.started,noPeriphery.stopped,final.started,final.stopped,blank_screen.started,blank_screen.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,17.862622300000112,None,Sadness,Sadness,choice,"0,1,2,3",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_1200,UniformityIllusion,2021.1.4,None,
,,,,,,,,,,,,,,Pessimism,Pessimism,choice,"0,1,2,3",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_29_1200,UniformityIllusion,2021.1.4,None,
,,,,,,,,,,,,,,,,,,,,18.972383199999967,None,1,[3.907766599999377],[3.907771799999864],22.811541699999907,None,space,1.337014800000361,22.811541699999907,None,,,,,,,,,,,,,,,,,001,2021_Jul_29_1200,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,2,24.552583499999855,34.700359800000115,space,10.428976700000021,24.552583499999855,None,24.552583499999855,34.700359800000115,28.960235500000636,None,34.340825100000075,34.700359800000115,24.552583499999855,None,,001,2021_Jul_29_1200,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2b.png,b,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,2,35.306926600000224,None,None,,35.306926600000224,None,35.306926600000224,None,None,None,None,None,35.306926600000224,None,,001,2021_Jul_29_1200,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,a,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,2,38.148878600000714,None,None,,38.148878600000714,None,38.148878600000714,None,None,None,None,None,38.148878600000714,None,,001,2021_Jul_29_1200,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1b.png,b,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,3,38.612483100000645,None,None,,38.612483100000645,None,38.612483100000645,None,None,None,None,None,38.612483100000645,None,,001,2021_Jul_29_1200,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,a,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,3,43.626024933333916,None,None,,43.626024933333916,None,43.626024933333916,None,None,None,None,None,43.626024933333916,None,,001,2021_Jul_29_1200,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,3,43.92602493333391,None,None,,43.92602493333391,None,43.92602493333391,None,None,None,None,None,43.92602493333391,None,,001,2021_Jul_29_1200,UniformityIllusion,2021.1.4,None,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\8start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\8a.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\8a.png,None,,,,,0,0,0,8,44.05941020000046,None,,,,,,,,,,,,,,,,,,2,46.28604660000019,None,None,,46.28604660000019,None,46.28604660000019,None,None,None,None,None,46.28604660000019,None,,001,2021_Jul_29_1200,UniformityIllusion,2021.1.4,None,
