PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,image.started,image.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.661392200000591,None,10.62825789999988,None,space,0.534072900000865,10.62825789999988,None,,,,,,,,,c,001,2021_Jul_07_1629,UniformityIllusion,2021.1.4,59.8772277323443,
0,0,0,0,,,,,,,,,,,,,11.244891700000153,None,11.244891700000153,None,space,0.47826700000041455,11.244891700000153,None,c,001,2021_Jul_07_1629,UniformityIllusion,2021.1.4,59.8772277323443,
1,0,1,0,,,,,,,,,,,,,11.845157200000358,None,11.845157200000358,None,space,0.45304459999988467,11.845157200000358,None,c,001,2021_Jul_07_1629,UniformityIllusion,2021.1.4,59.8772277323443,
2,0,2,0,,,,,,,,,,,,,12.428450800000064,None,12.428450800000064,None,space,0.4698950000001787,12.428450800000064,None,c,001,2021_Jul_07_1629,UniformityIllusion,2021.1.4,59.8772277323443,
3,0,3,0,,,,,,,,,,,,,13.044868599999973,None,13.044868599999973,None,space,0.5020045000001119,13.044868599999973,None,c,001,2021_Jul_07_1629,UniformityIllusion,2021.1.4,59.8772277323443,
4,0,4,0,,,,,,,,,,,,,13.660958700000265,None,13.660958700000265,None,space,0.5497406999993473,13.660958700000265,None,c,001,2021_Jul_07_1629,UniformityIllusion,2021.1.4,59.8772277323443,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,c,001,2021_Jul_07_1629,UniformityIllusion,2021.1.4,59.8772277323443,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,c,001,2021_Jul_07_1629,UniformityIllusion,2021.1.4,59.8772277323443,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,c,001,2021_Jul_07_1629,UniformityIllusion,2021.1.4,59.8772277323443,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,c,001,2021_Jul_07_1629,UniformityIllusion,2021.1.4,59.8772277323443,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,c,001,2021_Jul_07_1629,UniformityIllusion,2021.1.4,59.8772277323443,
