1.0343 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.6291 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000240F44646D8>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000240F43BBD30>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.6293 	EXP 	window1: mouseVisible = True
7.6293 	EXP 	window1: recordFrameIntervals = False
7.7953 	EXP 	window1: recordFrameIntervals = True
7.9791 	EXP 	window1: recordFrameIntervals = False
8.4403 	EXP 	Created WelcomeText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='WelcomeText', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Welcome to our Study!', units='height', win=Window(...), wrapWidth=1)
8.4560 	EXP 	Created instructionsText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructionsText', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
8.6027 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='stimuli\\\\3a.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 2.]), texRes=128.0, units='height', win=Window(...))
8.6069 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
8.6614 	EXP 	WelcomeText: autoDraw = True
9.3980 	DATA 	Keypress: space
10.2829 	DATA 	Keypress: space
10.6283 	EXP 	WelcomeText: autoDraw = False
10.6283 	EXP 	instructionsText: autoDraw = True
11.1665 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
11.1667 	EXP 	New trial (rep=0, index=0): None
11.2080 	DATA 	Keypress: space
11.2449 	EXP 	instructionsText: autoDraw = False
11.2449 	EXP 	image: autoDraw = True
11.2449 	EXP 	image: texRes = 128.0
11.2449 	EXP 	text: autoDraw = True
11.3119 	EXP 	image: texRes = 128.0
11.3779 	EXP 	image: texRes = 128.0
11.4611 	EXP 	image: texRes = 128.0
11.5449 	EXP 	image: texRes = 128.0
11.6278 	EXP 	image: texRes = 128.0
11.7115 	EXP 	image: texRes = 128.0
11.7647 	EXP 	New trial (rep=1, index=0): None
11.8164 	DATA 	Keypress: space
11.8452 	EXP 	image: texRes = 128.0
11.8452 	EXP 	image: autoDraw = False
11.8452 	EXP 	text: autoDraw = False
11.8452 	EXP 	image: autoDraw = True
11.8452 	EXP 	image: texRes = 128.0
11.8452 	EXP 	text: autoDraw = True
11.9283 	EXP 	image: texRes = 128.0
12.0111 	EXP 	image: texRes = 128.0
12.0782 	EXP 	image: texRes = 128.0
12.1452 	EXP 	image: texRes = 128.0
12.2280 	EXP 	image: texRes = 128.0
12.3119 	EXP 	image: texRes = 128.0
12.3564 	EXP 	New trial (rep=2, index=0): None
12.3997 	DATA 	Keypress: space
12.4285 	EXP 	image: texRes = 128.0
12.4285 	EXP 	image: autoDraw = False
12.4285 	EXP 	text: autoDraw = False
12.4285 	EXP 	image: autoDraw = True
12.4285 	EXP 	image: texRes = 128.0
12.4285 	EXP 	text: autoDraw = True
12.5110 	EXP 	image: texRes = 128.0
12.5951 	EXP 	image: texRes = 128.0
12.6784 	EXP 	image: texRes = 128.0
12.7610 	EXP 	image: texRes = 128.0
12.8457 	EXP 	image: texRes = 128.0
12.9287 	EXP 	image: texRes = 128.0
12.9688 	EXP 	New trial (rep=3, index=0): None
13.0088 	DATA 	Keypress: space
13.0449 	EXP 	image: texRes = 128.0
13.0449 	EXP 	image: autoDraw = False
13.0449 	EXP 	text: autoDraw = False
13.0449 	EXP 	image: autoDraw = True
13.0449 	EXP 	image: texRes = 128.0
13.0449 	EXP 	text: autoDraw = True
13.1280 	EXP 	image: texRes = 128.0
13.2115 	EXP 	image: texRes = 128.0
13.2944 	EXP 	image: texRes = 128.0
13.3777 	EXP 	image: texRes = 128.0
13.4613 	EXP 	image: texRes = 128.0
13.5450 	EXP 	image: texRes = 128.0
13.5899 	EXP 	New trial (rep=4, index=0): None
13.6336 	DATA 	Keypress: space
13.6610 	EXP 	image: texRes = 128.0
13.6610 	EXP 	image: autoDraw = False
13.6610 	EXP 	text: autoDraw = False
13.6610 	EXP 	image: autoDraw = True
13.6610 	EXP 	image: texRes = 128.0
13.6610 	EXP 	text: autoDraw = True
13.7446 	EXP 	image: texRes = 128.0
13.8276 	EXP 	image: texRes = 128.0
13.9113 	EXP 	image: texRes = 128.0
13.9942 	EXP 	image: texRes = 128.0
14.0617 	EXP 	image: texRes = 128.0
14.1450 	EXP 	image: texRes = 128.0
14.2278 	EXP 	image: texRes = 128.0
14.2751 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
14.2753 	EXP 	New trial (rep=0, index=0): None
14.2774 	EXP 	New trial (rep=1, index=0): None
14.2794 	EXP 	New trial (rep=2, index=0): None
14.2814 	EXP 	New trial (rep=3, index=0): None
14.2833 	EXP 	New trial (rep=4, index=0): None
14.2877 	DATA 	Keypress: space
14.3118 	EXP 	image: texRes = 128.0
14.3118 	EXP 	image: autoDraw = False
14.3118 	EXP 	text: autoDraw = False
14.4328 	EXP 	window1: mouseVisible = True
